date_added,category,topic,definition,url
2026-03-01,Infrastructure,Distributed Common Ground System,The Distributed Common Ground System (DCGS) is a system which produces military intelligence for multiple branches of the American military.,https://en.wikipedia.org/wiki/Distributed_Common_Ground_System
2026-03-02,Cryptography,PRESENT,"PRESENT is a lightweight block cipher, developed by Orange Labs (France), Ruhr University Bochum (Germany) and the Technical University of Denmark in 2007. PRESENT was designed by Andrey Bogdanov, Lars R. Knudsen, Gregor Leander, Christof Paar, Axel Poschmann, Matthew J. B. Robshaw, Yannick Seurin, and C. Vikkelsoe. The algorithm is notable for its compact size.",https://en.wikipedia.org/wiki/PRESENT
2026-03-02,Artificial Intelligence,Intelligent agent,"In artificial intelligence, an intelligent agent is an entity that perceives its environment, takes actions autonomously to achieve goals, and may improve its performance through machine learning or by acquiring knowledge. AI textbooks define artificial intelligence as the ""study and design of intelligent agents,"" emphasizing that goal-directed behavior is central to intelligence.",https://en.wikipedia.org/wiki/Intelligent_agent
2026-03-02,Infrastructure,Mobile cloud computing,"Mobile Cloud Computing (MCC) is the combination of cloud computing and mobile computing to bring rich computational resources to mobile users, network operators, as well as cloud computing providers. The ultimate goal of MCC is to enable execution of rich mobile applications on a plethora of mobile devices, with a rich user experience. MCC provides business opportunities for mobile network operators as well as cloud providers. More comprehensively, MCC can be defined as ""a rich mobile computing technology that leverages unified elastic resources of varied clouds and network technologies toward unrestricted functionality, storage, and mobility to serve a multitude of mobile devices anywhere, anytime through the channel of Ethernet or Internet regardless of heterogeneous environments and platforms based on the pay-as-you-use principle.""",https://en.wikipedia.org/wiki/Mobile_cloud_computing
2026-03-02,Cybersecurity,Record sealing,Record sealing is the process of making public records inaccessible to the public.,https://en.wikipedia.org/wiki/Record_sealing
2026-03-02,Cryptography,Non-physical true random number generator,"A non-physical true random number generator (NPTRNG), also known as a non-physical nondeterministic random bit generator is a generator of unpredictable random numbers without the use of dedicated hardware entropy source. NPTRNG uses a non-physical noise source that obtains entropy from system data, like outputs of application programming interface functions, residual information in the random access memory, system time or human input in the hope that that data may contain elements that are truly random, or at least not known to or controllable by others. A typical NPTRNG is implemented as software running on a computer. The NPTRNGs are frequently found in the kernels of the popular operating systems that are expected to run on any generic CPU.",https://en.wikipedia.org/wiki/Non-physical_true_random_number_generator
2026-03-03,Programming Languages,SenseTalk,"SenseTalk is a high-level English-like scripting language in the XTalk family, that supports both procedural and object-oriented paradigms. SenseTalk scripts are intended to be largely readable by ordinary people, including those with little to no training in programming.",https://en.wikipedia.org/wiki/SenseTalk
2026-03-03,Artificial Intelligence,Cognitive philology,"Cognitive philology is the science that studies written and oral texts as the product of human mental processes. Studies in cognitive philology compare documentary evidence emerging from textual investigations with results of experimental research, especially in the fields of cognitive and ecological psychology, neurosciences and artificial intelligence. ""The point is not the text, but the mind that made it"". Cognitive Philology aims to foster communication between literary, textual, philological disciplines on the one hand and researches across the whole range of the cognitive, evolutionary, ecological and human sciences on the other.",https://en.wikipedia.org/wiki/Cognitive_philology
2026-03-03,Network Infrastructure,Versatile Service Engine,"Versatile Service Engine is a second generation IP Multimedia Subsystem developed by Nortel Networks that is compliant with Advanced Telecommunications Computing Architecture specifications. Nortel's versatile service engine provides capability to telecommunication service provider to offer global System for mobile communications and code-division multiple access services in both wireline and wireless mode.",https://en.wikipedia.org/wiki/Versatile_Service_Engine
2026-03-03,Cryptography,Pizzino,"Pizzino is an Italian language word derived from the Sicilian language equivalent pizzinu meaning ""small piece of paper"". The word has been widely used to refer to small slips of paper that the Sicilian Mafia uses for high-level communications.",https://en.wikipedia.org/wiki/Pizzino
2026-03-03,Infrastructure,Cloud analytics,Cloud analytics is a marketing term for businesses to carry out analysis using cloud computing. It uses a range of analytical tools and techniques to help companies extract information from massive data and present it in a way that is easily categorised and readily available via a web browser.,https://en.wikipedia.org/wiki/Cloud_analytics
2026-03-04,Artificial Intelligence,Knowledge compilation,"Knowledge compilation is a family of approaches for addressing the intractability of a number of artificial intelligence problems.",https://en.wikipedia.org/wiki/Knowledge_compilation
2026-03-04,Software Engineering,Software durability,"In software engineering, software durability means the solution ability of serviceability of software and to meet user's needs for a relatively long time. Software durability is important for user's satisfaction. For a software security to be durable, it must allow an organization to adjust the software to business needs that are constantly evolving, often in impulsive ways.",https://en.wikipedia.org/wiki/Software_durability
2026-03-04,Network Infrastructure,Migration (virtualization),"In the context of virtualization, where a guest simulation of an entire computer is actually merely a software virtual machine (VM) running on a host computer under a hypervisor, migration is the process by which a running virtual machine is moved from one physical host to another, with little or no disruption in service.",https://en.wikipedia.org/wiki/Migration_(virtualization)
2026-03-04,Web Development,Web API,"A web API is an application programming interface (API) for either a web server or a web browser.As a web development concept, it can be related to a web application's client side.A server-side web API consists of one or more publicly exposed endpoints to a defined request–response message system, typically expressed in JSON or XML by means of an HTTP-based web server.",https://en.wikipedia.org/wiki/Web_API
2026-03-04,Cryptography,Kerckhoffs's principle,"Kerckhoffs's principle of cryptography was stated by the Dutch cryptographer Auguste Kerckhoffs in the 19th century. The principle holds that a cryptosystem should be secure, even if everything about the system, except the key, is public knowledge. This concept is widely embraced by cryptographers, in contrast to security through obscurity, which is not.",https://en.wikipedia.org/wiki/Kerckhoffs's_principle
2026-03-05,Infrastructure,Orleans (software framework),Orleans is a cross-platform software framework for building scalable and robust distributed interactive applications based on the .NET Framework or on the more recent .NET.,https://en.wikipedia.org/wiki/Orleans_(software_framework)
2026-03-05,Software Engineering,Certified software development professional,Certified Software Development Professional (CSDP) is a vendor-neutral professional certification in software engineering developed by the IEEE Computer Society for experienced software engineering professionals. This certification was offered globally since 2001 through Dec. 2014.,https://en.wikipedia.org/wiki/Certified_software_development_professional
2026-03-05,Software Engineering,Integrated development environment,"An integrated development environment (IDE) is software that provides a relatively comprehensive set of features for software development. An IDE is intended to enhance productivity by providing development features with a consistent user experience as opposed to using separate tools, such as vi, GDB, GCC, and make.",https://en.wikipedia.org/wiki/Integrated_development_environment
2026-03-05,Web Development,WebUSB,WebUSB is a JavaScript application programming interface (API) specification for securely providing access to USB devices from web applications.,https://en.wikipedia.org/wiki/WebUSB
2026-03-05,Software Engineering,Real-Time UML,"Real-Time UML (RTUML) refers to the application of the Unified Modelling Language (UML) for the analysis, design, and implementation of real-time and embedded systems, where timing constraints, concurrency, and resource management are critical. It extends standard UML with profiles, notations, and semantics to handle hard and soft real-time requirements, such as modelling predictable response times and fault tolerance. RTUML is not a separate language but a methodology leveraging UML diagrams for time-sensitive applications like automotive controls, avionics, and medical devices.",https://en.wikipedia.org/wiki/Real-Time_UML
2026-03-06,Programming Languages,Jq (programming language),"jq is a widely-used command-line utility and very high-level, functional, domain-specific programming language designed for processing JSON data. jq filters its input data to produce modified output in a manner similar to AWK or sed, but operates on JSON values, rather than lines. In jq, programs consist of filters that can be composed in pipelines that perform a variety of operations on their inputs.",https://en.wikipedia.org/wiki/Jq_(programming_language)
2026-03-06,Network Infrastructure,Open Compute Project,"The Open Compute Project (OCP) is an organization that facilitates the sharing of data center product designs and industry best practices among companies. Founded in 2011, OCP has significantly influenced the design and operation of large-scale computing facilities worldwide.",https://en.wikipedia.org/wiki/Open_Compute_Project
2026-03-06,Infrastructure,Onshape,"Onshape is a computer-aided design (CAD) software system, delivered over the Internet via a software as a service (SaaS) model. It makes extensive use of cloud computing, with compute-intensive processing and rendering performed on Internet-based servers, and users are able to interact with the system via a web browser or the iOS and Android apps. As a SaaS system, Onshape upgrades are released directly to the web interface, and the software does not require maintenance by the user.",https://en.wikipedia.org/wiki/Onshape
2026-03-06,Network Infrastructure,Switched Multi-megabit Data Service,"Switched Multi-megabit Data Service (SMDS) was a connectionless service used to connect LANs, MANs and WANs to exchange data, in early 1990s. In Europe, the service was known as Connectionless Broadband Data Service (CBDS).",https://en.wikipedia.org/wiki/Switched_Multi-megabit_Data_Service
2026-03-06,Web Development,CU-RTC-WEB,"Customizable, Ubiquitous Real Time Communication over the Web is an API definition being drafted by Bernard Aboba at Microsoft. It is a competing standard to WebRTC, which drafted by a World Wide Web Consortium working group since May 2011.",https://en.wikipedia.org/wiki/CU-RTC-WEB
2026-03-07,Infrastructure,Cloud computing,"Cloud computing is defined by the International Organization for Standardization (ISO) as ""a paradigm for enabling network access to a scalable and elastic pool of shareable physical or virtual resources with self-service provisioning and administration on demand"". It is commonly referred to as ""the cloud"".",https://en.wikipedia.org/wiki/Cloud_computing
2026-03-07,Artificial Intelligence,Singularity studies,"Singularity studies is an interdisciplinary academic field which examines the idea of technological singularity — the hypothesised point at which artificial intelligence may surpass human intelligence, might be attained by artificial intelligence (AI), robotics, and other technologies and sciences, and its social impacts.",https://en.wikipedia.org/wiki/Singularity_studies
2026-03-07,Web Development,International Webmasters Association,"The International Webmasters Association (IWA) is a non-profit association for education and certification of web professionals founded in 1996. It provides a Certified Web Professional certification. One of its objectives is to build a World Wide Web that is a true global community. According to the IWA, as of 2025 it has more than 100 official chapters with over 300,000 individual members in 106 countries.",https://en.wikipedia.org/wiki/International_Webmasters_Association
2026-03-07,Web Development,Browser sniffing,"Browser sniffing is a set of techniques used in websites and web applications in order to determine the web browser a visitor is using, and to serve browser-appropriate content to the visitor. It is also used to detect mobile browsers and send them mobile-optimized websites. This practice is sometimes used to circumvent incompatibilities between browsers due to misinterpretation of HTML, Cascading Style Sheets (CSS), or the Document Object Model (DOM). While the World Wide Web Consortium maintains up-to-date central versions of some of the most important Web standards in the form of recommendations, in practice no software developer has designed a browser which adheres exactly to these standards; implementation of other standards and protocols, such as SVG and XMLHttpRequest, varies as well. As a result, different browsers display the same page differently, and so browser sniffing was developed to detect the web browser in order to help ensure consistent display of content.",https://en.wikipedia.org/wiki/Browser_sniffing
2026-03-07,Hardware,Temporal multithreading,"Temporal multithreading is one of the two main forms of multithreading that can be implemented on computer processor hardware, the other being simultaneous multithreading. The distinguishing difference between the two forms is the maximum number of concurrent threads that can execute in any given pipeline stage in a given cycle. In temporal multithreading the number is one, while in simultaneous multithreading the number is greater than one. Some authors use the term super-threading synonymously.",https://en.wikipedia.org/wiki/Temporal_multithreading
2026-03-08,Network Infrastructure,Network-neutral data center,A network-neutral data center is a data center which allows interconnection between multiple telecommunication carriers and/or colocation providers. Network-neutral data centers exist all over the world and vary in size and power.,https://en.wikipedia.org/wiki/Network-neutral_data_center
2026-03-08,Hardware,Electron E1,"The Electron E1 is a power efficient CPU designed by Efficient Computer with an innovative architecture. Instead of the von Neumann architecture, the chip uses compute nodes distributed across the area of the chip. rather than sequentially executed instructions. A compiled program is spatially distributed, with data flowing between the different instruction nodes when the results are ready rather than sequentially executed. Compared to systolic arrays or digital signal processors, the data flow is more flexible. Efficiency is improved since there is no instruction fetching, data caching, or collision detection.",https://en.wikipedia.org/wiki/Electron_E1
2026-03-08,Data Structures,Search data structure,"In computer science, a search data structure is any data structure that allows the efficient retrieval of specific items from a set of items, such as a specific record from a database.",https://en.wikipedia.org/wiki/Search_data_structure
2026-03-09,Infrastructure,Apache Hama,"Apache Hama is a distributed computing framework based on bulk synchronous parallel computing techniques for massive scientific computations e.g., matrix, graph and network algorithms. Originally a sub-project of Hadoop, it became an Apache Software Foundation top level project in 2012. It was created by Edward J. Yoon, who named it, and Hama also means hippopotamus in Yoon's native Korean language (하마), following the trend of naming Apache projects after animals and zoology. Hama was inspired by Google's Pregel large-scale graph computing framework described in 2010. When executing graph algorithms, Hama showed a fifty-fold performance increase relative to Hadoop.",https://en.wikipedia.org/wiki/Apache_Hama
2026-03-09,Cryptography,Software token,"A software token is a piece of a two-factor authentication security device that may be used to authorize the use of computer services. Software tokens are stored on a general-purpose electronic device such as a desktop computer, laptop, PDA, or mobile phone and can be duplicated.",https://en.wikipedia.org/wiki/Software_token
2026-03-09,Software Engineering,Brownout (software engineering),Brownout in software engineering is a technique that involves disabling certain features of an application.,https://en.wikipedia.org/wiki/Brownout_(software_engineering)
2026-03-10,Network Infrastructure,Reciprocity (network science),"In network science, reciprocity is a measure of the likelihood of vertices in a directed network to be mutually linked. Like the clustering coefficient, scale-free degree distribution, or community structure, reciprocity is a quantitative measure used to study complex networks.",https://en.wikipedia.org/wiki/Reciprocity_(network_science)
2026-03-10,Network Infrastructure,Radio access technology,"A radio access technology (RAT) is the underlying physical connection method for a radio communication network. Many modern mobile phones support several RATs in one device such as Bluetooth, Wi-Fi, and GSM, UMTS, LTE or 5G NR.",https://en.wikipedia.org/wiki/Radio_access_technology
2026-03-10,Cryptography,Malleability (cryptography),"Malleability is a property of some cryptographic algorithms. An encryption algorithm is said to be malleable if it is possible to transform a ciphertext into another ciphertext which decrypts to a related plaintext. That is, given an encryption of a plaintext , it is possible to generate another ciphertext which decrypts to , for a known function , without necessarily knowing or learning .",https://en.wikipedia.org/wiki/Malleability_(cryptography)
2026-03-11,Programming Languages,ELAN (programming language),ELAN is an interpreted educational programming language for learning and teaching systematic programming.,https://en.wikipedia.org/wiki/ELAN_(programming_language)
2026-03-11,Software Engineering,Software construction,Software construction is the process of creating working software via coding and integration. The process includes unit and integration testing although does not include higher level testing such as system testing.,https://en.wikipedia.org/wiki/Software_construction
2026-03-11,Network Infrastructure,Time-driven priority,"Time-driven priority (TDP)
is a synchronous packet scheduling technique that implements UTC-based pipeline forwarding
and can be combined with conventional IP routing to achieve the higher flexibility than another pipeline forwarding implementation known as time-driven switching (TDS) or fractional lambda switching (FλS). Packets entering a switch from the same input port during the same [time frame] (TF) can be sent out from different output ports, according to the rules that drive IP packet routing. Operation in accordance to pipeline forwarding principles ensures deterministic quality of service and low complexity packet scheduling. Specifically, packets scheduled for transmission during a TF are given maximum priority; if resources have been properly reserved, all scheduled packets will be at the output port and transmitted before their TF ends.",https://en.wikipedia.org/wiki/Time-driven_priority
2026-03-12,Operating Systems,Just enough operating system,"Just enough operating system is a paradigm for customizing operating systems to fit the needs of a particular application such as for a software appliance. The platform only includes the operating system components required to support a particular application and any other third-party components contained in the appliance. This makes the appliance smaller, faster and potentially more secure than an application running under a full general-purpose OS.",https://en.wikipedia.org/wiki/Just_enough_operating_system
2026-03-12,Web Development,Hydration (web development),"In web development, hydration or rehydration is a technique in which client-side JavaScript converts a web page that is static from the perspective of the web browser, delivered either through static rendering or server-side rendering, into a dynamic web page by attaching event handlers to the HTML elements in the DOM. Because the HTML is pre-rendered on a server, this allows for a fast ""first contentful paint"", but there is a period of time afterward where the page appears to be fully loaded and interactive, but is not until the client-side JavaScript is executed and event handlers have been attached.",https://en.wikipedia.org/wiki/Hydration_(web_development)
2026-03-12,Artificial Intelligence,Web intelligence,"Web intelligence is the area of scientific research and development that explores the roles and makes use of artificial intelligence and information technology for new products, services and frameworks that are empowered by the World Wide Web.",https://en.wikipedia.org/wiki/Web_intelligence
2026-03-13,Operating Systems,Glossary of operating systems terms,"
This page is a glossary of Operating systems terminology.",https://en.wikipedia.org/wiki/Glossary_of_operating_systems_terms
2026-03-13,Software Engineering,Test data,"Test data are sets of inputs or information used to verify the correctness, performance, and reliability of software systems. Test data encompass various types, such as positive and negative scenarios, edge cases, and realistic user scenarios, and aims to exercise different aspects of the software to uncover bugs and validate its behavior. Test data is also used in regression testing to verify that new code changes or enhancements do not introduce unintended side effects or break existing functionalities.",https://en.wikipedia.org/wiki/Test_data
2026-03-13,Programming Languages,Gosling Emacs,Gosling Emacs is a discontinued Emacs implementation written in 1981 by James Gosling in C.,https://en.wikipedia.org/wiki/Gosling_Emacs
2026-03-14,Cryptography,Honey encryption,"Honey encryption is a type of data encryption that ""produces a ciphertext, which, when decrypted with an incorrect key as guessed by the attacker, presents a plausible-looking yet incorrect plaintext.""",https://en.wikipedia.org/wiki/Honey_encryption
2026-03-14,Programming Languages,TypeScript,TypeScript (TS) is a high-level programming language that adds static typing with optional type annotations to JavaScript. It is designed for developing large applications. It transpiles to JavaScript. It is developed by Microsoft as free and open-source software released under an Apache License 2.0.,https://en.wikipedia.org/wiki/TypeScript
2026-03-14,Network Infrastructure,Remote desktop software,"Remote desktop software is software for remote administration of computers, allowing a desktop environment to be displayed on a computer, known as the client, other than the one on which it is running − the server. While commonly found in the context of personal computers, the concept also applies to other forms of computers, such as smartphones and dedicated servers.",https://en.wikipedia.org/wiki/Remote_desktop_software
2026-03-15,Operating Systems,Operating System Concepts,"Operating System Concepts by Abraham Silberschatz and James Peterson is a classic textbook on operating systems. It is often called the ""dinosaur book"", as the first edition of the book had on the cover a number of dinosaurs labeled with various old operating systems. The bigger dinosaurs were labeled with the older big OSs. The ape-like creature was labeled UNIX. The idea was that like dinosaurs, operating systems evolve.",https://en.wikipedia.org/wiki/Operating_System_Concepts
2026-03-15,Cryptography,Polygraphic substitution,"Polygraphic substitution is a substitution cipher in which a uniform substitution is performed on blocks of letters. When the length of the block is specifically known, more precise terms are used: for instance, a cipher in which pairs of letters are substituted is bigraphic.",https://en.wikipedia.org/wiki/Polygraphic_substitution
2026-03-15,Cryptography,SFINKS,"In cryptography, SFINKS is a stream cypher algorithm developed by An Braeken, Joseph Lano, Nele Mentens, Bart Preneel, and Ingrid Verbauwhede. It includes a message authentication code. It has been submitted to the eSTREAM Project of the eCRYPT network. In 2005, Nicolas T. Courtois noted that, while the cipher is elegant and secure against some simple algebraic attacks, it is vulnerable to more elaborate known attacks.",https://en.wikipedia.org/wiki/SFINKS
2026-03-16,Cybersecurity,CPU modes,"CPU modes are operating modes for the central processing unit of most computer architectures that place restrictions on the type and scope of operations that can be performed by instructions being executed by the CPU. For example, this design allows an operating system to run with more privileges than application software by running the operating systems and applications in different modes.",https://en.wikipedia.org/wiki/CPU_modes
2026-03-16,Cybersecurity,Secure element,"A secure element (SE) is a secure operating system (OS) in a tamper-resistant processor chip or secure component. It can protect assets (root of trust, sensitive data, keys, certificates, applications) against high-level software and hardware attacks. Applications that process this sensitive data on an SE are isolated and so operate within a controlled environment not affected by software (including possible malware) found elsewhere on the OS.",https://en.wikipedia.org/wiki/Secure_element
2026-03-17,Web Development,WebCL,"WebCL is a JavaScript binding to OpenCL for heterogeneous parallel computing within any compatible web browser without the use of plug-ins, first announced in March 2011. It is developed on similar grounds as OpenCL and is considered as a browser version of the latter. Primarily, WebCL allows web applications to actualize speed with multi-core CPUs and GPUs. With the growing popularity of applications that need parallel processing like image editing, augmented reality applications and sophisticated gaming, it has become more important to improve the computational speed. With these background reasons, a non-profit Khronos Group designed and developed WebCL, which is a Javascript binding to OpenCL with a portable kernel programming, enabling parallel computing on web browsers, across a wide range of devices. In short, WebCL consists of two parts, one being Kernel programming, which runs on the processors (devices) and the other being JavaScript, which binds the web application to OpenCL. The completed and ratified specification for WebCL 1.0 was released on March 19, 2014.",https://en.wikipedia.org/wiki/WebCL
2026-03-17,Hardware,Tagged architecture,"In computer science, a tagged architecture is a type of computer architecture where every word of memory constitutes a tagged union, being divided into a number of bits of data, and a tag section that describes the type of the data: how it is to be interpreted, and, if it is a reference, the type of the object that it points to.",https://en.wikipedia.org/wiki/Tagged_architecture
2026-03-18,Cybersecurity,Fuzzy hashing,"Fuzzy hashing, also known as similarity hashing, is a technique for detecting data that is similar, but not exactly the same, as other data. This is in contrast to cryptographic hash functions, which are designed to have significantly different hashes for even minor differences. Fuzzy hashing has been used to identify malware and has potential for other applications, like data loss prevention and detecting multiple versions of code.",https://en.wikipedia.org/wiki/Fuzzy_hashing
2026-03-18,Infrastructure,Cloud robotics,"Cloud robotics is a field of robotics that attempts to invoke cloud technologies such as cloud computing, cloud storage, and other Internet technologies centered on the benefits of converged infrastructure and shared services for robotics. When connected to the cloud, robots can benefit from the powerful computation, storage, and communication resources of a modern data center in the cloud, which can process and share information from various robots or agents. Humans can also delegate tasks to robots remotely through networks.",https://en.wikipedia.org/wiki/Cloud_robotics
2026-03-19,Cybersecurity,Enterprise information security architecture,"Enterprise information security architecture (EISA) is the practice of designing, constructing and maintaining information security strategies and policies in enterprise organisations. A subset of enterprise architecture, information security frameworks are often given their own dedicated resources in larger organisations and are therefore significantly more complex and robust than in small and medium-sized enterprises.",https://en.wikipedia.org/wiki/Enterprise_information_security_architecture
2026-03-19,Network Infrastructure,Web container,"A web container is the component of a web server that interacts with Jakarta Servlets. A web container is responsible for managing the lifecycle of servlets, mapping a URL to a particular servlet and ensuring that the URL requester has the correct access-rights. A web container handles requests to servlets, Jakarta Server Pages (JSP) files, and other types of files that include server-side code. The Web container creates servlet instances, loads and unloads servlets, creates and manages request and response objects, and performs other servlet-management tasks. A web container implements the web component contract of the Jakarta EE architecture. This architecture specifies a runtime environment for additional web components, including security, concurrency, lifecycle management, transaction, deployment, and other services.",https://en.wikipedia.org/wiki/Web_container
2026-03-20,Artificial Intelligence,AZFinText,Arizona Financial Text System (AZFinText) is a textual-based quantitative financial prediction system written by Robert P. Schumaker of University of Texas at Tyler and Hsinchun Chen of the University of Arizona.,https://en.wikipedia.org/wiki/AZFinText
2026-03-20,Cryptography,Blinding (cryptography),"In cryptography, blinding first became known in the context of blind signatures, where the message author blinds the message with a random blinding factor, the signer then signs it and the message author ""unblinds"" it; signer and message author are different parties.",https://en.wikipedia.org/wiki/Blinding_(cryptography)
2026-03-21,Infrastructure,.cloud,".cloud is a generic top-level domain (gTLD) delegated by Internet Corporation for Assigned Names and Numbers (ICANN). It is managed by the Italian company Aruba PEC SpA, a wholly owned subsidiary of the same Aruba S.p.A., one of the largest distributors of Hostings and Providers in Europe.",https://en.wikipedia.org/wiki/.cloud
2026-03-21,Programming Languages,A+ (programming language),"A+ is a high-level, interactive, interpreted array programming language designed for numerically intensive applications, especially those found in financial applications.",https://en.wikipedia.org/wiki/A%2B_(programming_language)
2026-03-22,Web Development,Pull technology,"Pull coding or client pull is a style of network communication, where the initial request for data originates from the client, and then is responded to by the server. The reverse is known as push technology, where the server pushes data to clients.",https://en.wikipedia.org/wiki/Pull_technology
2026-03-22,Software Engineering,Empirical software engineering,"Empirical software engineering (ESE) is a subfield of software engineering (SE) research that uses empirical research methods to study and evaluate SE techniques. These techniques include: software development tools/technology, practices, processes, policies, or other human and organizational aspects.",https://en.wikipedia.org/wiki/Empirical_software_engineering
2026-03-23,Cybersecurity,Security awareness,"Security awareness is the knowledge and attitude members of an organization possess regarding the protection of the physical, and especially informational, assets of that organization. However, it is very tricky to implement because organizations are not able to impose such awareness directly on employees as there are no ways to explicitly monitor people's behavior. That being said, the literature does suggest several ways that such security awareness could be improved. Many organizations require formal security awareness training for all workers when they join the organization and periodically thereafter, usually annually. Another main force that is found to have a strong correlation with employees' security awareness is managerial security participation. It also bridges security awareness with other organizational aspects.",https://en.wikipedia.org/wiki/Security_awareness
2026-03-23,Programming Languages,Scientific Vector Language,"SVL or Scientific Vector Language is a programming language created by Chemical Computing Group. It was first released in 1994. SVL is the built-in command, scripting and application development language of MOE. It is a ""chemistry aware"" computer programming language with over 1,000 specific functions for analyzing and manipulating chemical structures and related molecular objects. SVL is a concise, high-level language whose programs are typically 10 times smaller than their equivalent when compared to C or Fortran. SVL source code is compiled to a ""byte code"" representation, which is then executed by the base run-time environment making SVL programs inherently portable across different computer hardware and operating systems.",https://en.wikipedia.org/wiki/Scientific_Vector_Language
